id,name,market_hash_name
39,AK-47 | Redline (Factory New),G1807209A023004
40,AK-47 | Redline (Minimal Wear),G1807209A023004
41,AK-47 | Redline (Field-Tested),G1807209A023004
42,AK-47 | Redline (Well-Worn),G1807209A023004
43,AK-47 | Redline (Battle-Scarred),G1807209A023004
44,Glock-18 | Synth Leaf (Factory New),G180420DC053004
45,Glock-18 | Synth Leaf (Minimal Wear),G180420DC053004
46,Glock-18 | Synth Leaf (Field-Tested),G180420DC053004
47,Glock-18 | Synth Leaf (Well-Worn),G180420DC053004
48,Glock-18 | Synth Leaf (Battle-Scarred),G180420DC053004
49,StatTrak™ P90 | Randy Rush (Factory New),G1813207F3004
50,StatTrak™ P90 | Randy Rush (Minimal Wear),G1813207F3004
51,StatTrak™ P90 | Randy Rush (Field-Tested),G1813207F3004
52,StatTrak™ P90 | Randy Rush (Well-Worn),G1813207F3004
53,StatTrak™ P90 | Randy Rush (Battle-Scarred),G1813207F3004
54,Glock-18 | Pink DDPAT (Factory New),G180420543004
55,Glock-18 | Pink DDPAT (Minimal Wear),G180420543004
56,Glock-18 | Pink DDPAT (Field-Tested),G180420543004
57,Glock-18 | Pink DDPAT (Well-Worn),G180420543004
58,Glock-18 | Pink DDPAT (Battle-Scarred),G180420543004
59,P90 | Randy Rush (Factory New),G1813207F3004
60,P90 | Randy Rush (Minimal Wear),G1813207F3004
61,P90 | Randy Rush (Field-Tested),G1813207F3004
62,P90 | Randy Rush (Well-Worn),G1813207F3004
63,P90 | Randy Rush (Battle-Scarred),G1813207F3004
64,Dual Berettas | Hydro Strike (Factory New),G180220703004
65,Dual Berettas | Hydro Strike (Minimal Wear),G180220703004
66,Dual Berettas | Hydro Strike (Field-Tested),G180220703004
67,Dual Berettas | Hydro Strike (Well-Worn),G180220703004
68,Dual Berettas | Hydro Strike (Battle-Scarred),G180220703004
69,StatTrak™ P90 | Off World (Factory New),G181320D1063004
70,StatTrak™ P90 | Off World (Minimal Wear),G181320D1063004
71,StatTrak™ P90 | Off World (Field-Tested),G181320D1063004
72,StatTrak™ P90 | Off World (Well-Worn),G181320D1063004
73,StatTrak™ P90 | Off World (Battle-Scarred),G181320D1063004
74,MAC-10 | Hot Snakes (Factory New),G181120F1073004
75,MAC-10 | Hot Snakes (Minimal Wear),G181120F1073004
76,MAC-10 | Hot Snakes (Field-Tested),G181120F1073004
77,MAC-10 | Hot Snakes (Well-Worn),G181120F1073004
78,MAC-10 | Hot Snakes (Battle-Scarred),G181120F1073004
79,StatTrak™ UMP-45 | Corporal (Factory New),G18182099023004
80,StatTrak™ UMP-45 | Corporal (Minimal Wear),G18182099023004
81,StatTrak™ UMP-45 | Corporal (Field-Tested),G18182099023004
82,StatTrak™ UMP-45 | Corporal (Well-Worn),G18182099023004
83,StatTrak™ UMP-45 | Corporal (Battle-Scarred),G18182099023004
84,MAG-7 | Hazard (Factory New),G181B20C6013004
85,MAG-7 | Hazard (Minimal Wear),G181B20C6013004
86,MAG-7 | Hazard (Field-Tested),G181B20C6013004
87,MAG-7 | Hazard (Well-Worn),G181B20C6013004
88,MAG-7 | Hazard (Battle-Scarred),G181B20C6013004
89,M4A1-S | Welcome to the Jungle (Factory New),G183C20E9073004
90,M4A1-S | Welcome to the Jungle (Minimal Wear),G183C20E9073004
91,M4A1-S | Welcome to the Jungle (Field-Tested),G183C20E9073004
92,M4A1-S | Welcome to the Jungle (Well-Worn),G183C20E9073004
93,M4A1-S | Welcome to the Jungle (Battle-Scarred),G183C20E9073004
94,StatTrak™ Dual Berettas | Balance (Factory New),G180220FF063004
